"KO-DMSO_Rep1"	"KO-DMSO_Rep2"	"KO-E20_Rep1"	"KO-E20_Rep2"	"WT-DMSO_Rep1"	"WT-DMSO_Rep2"	"WT-E20_Rep1"	"WT-E20_Rep2"
"ENSG00000008226.20"	0	1.245	0	0	4.738	3.032	1.043	8.118
"ENSG00000008256.16"	529	423.999	696.446	882.053	965.999	593	1481.003	1742.021
"ENSG00000008277.15"	4	4	5	9	19	5	45	32
"ENSG00000008282.10"	406.572	317.001	424.19	579	791	454	1082	1297
"ENSG00000008283.16"	1414.263	1178.999	1485.767	1549.001	2893.255	1566.999	3076.724	3841.278
"ENSG00000008294.22"	30	28	53	145	94.001	50	258.001	177.999
"ENSG00000008300.17"	698.999	612	598.017	592	1111.999	550	941.006	1236.037
"ENSG00000008311.16"	0	0	0	0	1	0	0	0
"ENSG00000008323.16"	44	26	9	0	20	10	11	8
"ENSG00000008324.12"	102	90	56	71	271	157	256.519	338.554
"ENSG00000008382.16"	446.966	347.147	238.883	316.001	1133.306	564.356	791.907	1111.335
"ENSG00000008394.13"	580.25	433.001	389.999	581	892.87	489.999	1010	1163.002
"ENSG00000008405.12"	12	17	35	54	33	32	85	86
"ENSG00000008438.5"	2	1	0	1	2	1	0	2
"ENSG00000008441.19"	2981.613	2514.921	2891.046	2961.13	8502.649	4634.92	7461.999	10209.849
"ENSG00000008513.16"	203	155.001	334.001	388	426.999	252	928	1190.587
"ENSG00000008516.18"	516.476	443.473	413.77	386.159	1873.11	859.714	1232.317	1751.311
"ENSG00000008517.19"	38.999	43	19	19	233	120.999	71	119.002
"ENSG00000008710.20"	3911.748	3478.792	4265.337	3989.643	7018.52	3118.377	7938.685	10437.854
"ENSG00000008735.14"	923.018	874	188	200	338	185	180	225.015
"ENSG00000008838.21"	7238.062	5719.507	5409.996	5532.83	11035.342	5605.999	6211.271	8056.429
"ENSG00000008853.18"	3560.726	3097.925	2886.782	2974.776	7227.376	3634.276	6114.534	8522.801
"ENSG00000008869.12"	14	16	27	49	21	13	118	63
"ENSG00000008952.17"	31	30	71	135.044	123	51	243	157
"ENSG00000008988.11"	8010.205	7329	10400.92	11034.995	17326.548	9444.317	22190.455	24944.815
"ENSG00000009307.17"	283	365	806.625	1889.363	1128.001	496.076	2958.369	2180.994
"ENSG00000009335.18"	577.046	502	848	1441	1305.001	742	2341	2239.001
"ENSG00000009413.16"	13	17.903	18	16.496	16	8	62.58	43
"ENSG00000009694.14"	5	4	8	12	1	0	4	3
